CombinID,Player,Position,Height,Date_birth,Nationality,Website_player
SDT,Edgar Vicedo,Forward,2.03,24/08/1994,Spain,http://www.acb.com/jugador.php?id=SDT
T78,Nicolas Richotti,Guard,1.83,17/10/1986,Italy,http://www.acb.com/jugador.php?id=T78
249,Damjan Rudez,Center,2.05,17/06/1986,Croatia,http://www.acb.com/jugador.php?id=249
219,Tibor Pleiss,Center,2.18,02/11/1989,Germany,http://www.acb.com/jugador.php?id=219
217,Bojan Dubljevic,Center,2.05,24/10/1991,Montenegro,http://www.acb.com/jugador.php?id=217
17T,Moussa Diagne,Center,2.11,06/03/1994,Senegal,http://www.acb.com/jugador.php?id=17T
216,Adrien Moerman,Center,2.03,17/08/1988,France,http://www.acb.com/jugador.php?id=216
258,Ian O'Leary,Center,2.01,20/10/1986,United States,http://www.acb.com/jugador.php?id=258
243,Dontaye Draper,Guard,1.81,10/08/1984,Croatia,http://www.acb.com/jugador.php?id=243
BLP,Guillem Vives,Guard,1.92,16/06/1993,Spain,http://www.acb.com/jugador.php?id=BLP
244,Corey Fisher,Guard,1.85,08/04/1988,Georgia,http://www.acb.com/jugador.php?id=244
218,Fabien Causeur,Guard,1.95,16/06/1987,France,http://www.acb.com/jugador.php?id=218
T86,Julen Olaizola,Center,2.02,04/03/1993,Spain,http://www.acb.com/jugador.php?id=T86
782,Joan Pardina,Forward,2.01,18/11/1993,Spain,http://www.acb.com/jugador.php?id=782
858,Alberto Martin,Guard,1.80,28/03/1995,Spain,http://www.acb.com/jugador.php?id=858
T2Z,W. Tavares,Center,2.20,22/03/1992,Cape Verde,http://www.acb.com/jugador.php?id=T2Z
10D,Dejan Todorovic,Forward,1.96,29/05/1994,Serbia,http://www.acb.com/jugador.php?id=10D
81E,Dario Brizuela,Guard,1.88,08/11/1994,Spain,http://www.acb.com/jugador.php?id=81E
862,Rolands Smits,Forward,2.07,25/06/1995,Latvia,http://www.acb.com/jugador.php?id=862
H36,John Shurna,Center,2.04,30/04/1990,Lithuania,http://www.acb.com/jugador.php?id=H36
Y7X,Ivan Martinez,Guard,1.92,02/03/1990,Spain,http://www.acb.com/jugador.php?id=Y7X
Y84,Daniel Perez,Guard,1.88,28/02/1990,Spain,http://www.acb.com/jugador.php?id=Y84
H18,Giorgi Shermadini,Center,2.17,02/04/1989,Georgia,http://www.acb.com/jugador.php?id=H18
H09,Jonathan Tabu,Guard,1.90,07/10/1985,Belgium,http://www.acb.com/jugador.php?id=H09
